time,open,high,low,close,Volume,Plot,Plot,Plot,
1762878300,6825.42,6825.93,6812.68,6812.82,,86.67831932810249,20,80,0
1762878600,6813.03,6816.19,6807.72,6815.61,,86.78833462144193,20,80,0
1762878900,6815.6,6818.88,6814.44,6815.65,,86.8974356810485,20,80,0
1762879200,6815.76,6818.73,6812.8,6816.83,,87.00773718296581,20,80,0
1762879500,6816.73,6820.88,6816.44,6819.95,,87.09677688009891,20,80,0
1762879800,6819.98,6821.38,6816.92,6820,,87.18623454256326,20,80,0
1762880100,6820.12,6821.62,6816.26,6817.1,,87.29175980887572,20,80,0
1762880400,6817.07,6822.22,6816.73,6821.52,,87.38290669938179,20,80,0
1762880700,6821.72,6827.62,6821.72,6826.11,,87.45560646508471,20,80,0
1762881000,6826.22,6827.35,6823.38,6827.12,,87.52429224258536,20,80,0
1762881300,6827.13,6831.63,6827.07,6831.62,,87.57907417982823,20,80,0
1762881600,6831.5,6833.33,6830.01,6832.55,,87.6495074146339,20,80,0
1762881900,6832.49,6832.69,6827.35,6829.82,,87.72798338203077,20,80,0
1762882200,6829.84,6832.04,6829.83,6831.42,,87.81176261799067,20,80,0
1762882500,6831.38,6832.27,6829.25,6830.73,,87.90772989212573,20,80,0
1762882800,6830.67,6833.6,6829.48,6833.6,,88.00539661246344,20,80,0
1762883100,6833.55,6836.49,6831.76,6835.62,,88.09516789717368,20,80,0
1762883400,6835.53,6840.62,6834.44,6838.78,,88.18690630309892,20,80,0
1762883700,6838.67,6841.72,6838.57,6840.39,,88.27339609509909,20,80,0
1762884000,6840.27,6845.17,6840.26,6843.14,,88.35252054145012,20,80,0
1762884300,6843.19,6845.22,6841.81,6841.81,,88.4316832401728,20,80,0
1762884600,6841.75,6844.87,6841.75,6843.28,,88.5155527431109,20,80,0
1762884900,6843.12,6849.09,6842.62,6849.06,,88.58727991652137,20,80,0
1762885200,6848.93,6851.65,6846.19,6846.98,,88.65438497526476,20,80,0
1762885500,6847.33,6849.64,6844.7,6848.23,,88.71935017010333,20,80,0
1762885800,6848.34,6850.19,6846.22,6846.74,,88.78462465979413,20,80,0
1762886100,6846.85,6846.99,6841.33,6845.22,,88.84276236771679,20,80,0
1762886400,6845.79,6849.64,6845.4,6849.14,,88.88618886367449,20,80,0
1762886700,6849.13,6850.96,6848.14,6850.57,,88.91979156084021,20,80,0
1762887000,6850.52,6852.59,6848.43,6849.62,,88.95368792413797,20,80,0
1762887300,6849.66,6853,6849.58,6852.07,,88.98527206478416,20,80,0
1762887600,6851.99,6851.99,6845.84,6849.33,,89.02495547020942,20,80,0
1762887900,6849.29,6850.23,6844.73,6846.08,,89.07282349580404,20,80,0
1762888200,6845.95,6850.59,6845.67,6849.54,,89.10510779004085,20,80,0
1762888500,6849.65,6852.53,6848.87,6848.94,,89.13762115508945,20,80,0
1762888800,6849,6850.17,6847.97,6849.99,,89.17035653789658,20,80,0
1762889100,6849.88,6852.46,6849.17,6851.04,,89.20060157036441,20,80,0
1762889400,6851.13,6853.13,6850.56,6850.85,,89.23103669882858,20,80,0
1762889700,6850.9,6851.91,6848.94,6849.94,,89.26986728040752,20,80,0
1762890000,6850.1,6851.4,6848.8,6848.96,,89.30066076539966,20,80,0
1762890300,6848.93,6852.8,6847.36,6851.61,,89.31503988727968,20,80,0
1762890600,6851.57,6852.95,6850.64,6852.71,,89.32947471251025,20,80,0
1762890900,6852.69,6853.7,6849.7,6850.78,,89.3439645672056,20,80,0
1762891200,6850.73,6853.32,6850.7,6853.32,,89.35850878197259,20,80,0
1762891500,6853.28,6854.18,6851.88,6851.95,,89.39259878312471,20,80,0
1762891800,6851.86,6855.13,6851.85,6853.54,,89.42405612368856,20,80,0
1762892100,6853.53,6853.85,6851.21,6851.94,,89.4528503680246,20,80,0
1762892400,6851.88,6852.77,6847.94,6850.47,,89.48460340365499,20,80,0
1762892700,6850.43,6851.67,6847.98,6848.92,,89.51082105737629,20,80,0
1762893000,6848.85,6850.29,6845.06,6848.42,,89.53430104341034,20,80,0
1762893300,6848.36,6848.84,6846.74,6847.86,,89.5607356825691,20,80,0
1762893600,6847.91,6850.66,6846.57,6850.66,,89.57866594901958,20,80,0
1762893900,6850.68,6851.27,6847.64,6848.45,,89.59378135767999,20,80,0
1762894200,6848.57,6855.08,6848.57,6851.67,,89.60894216080992,20,80,0
1762894500,6851.72,6851.72,6842.38,6848.09,,89.63568539220722,20,80,0
1762894800,6847.55,6847.55,6846.61,6846.61,,89.66542325029366,20,80,0
1762957800,6867.77,6868.6,6858.24,6861.46,,89.68945142358919,20,80,0
1762958100,6861.6,6869.91,6861.48,6867.6,,89.70481950314071,20,80,0
